accelerator; pedał przyspieszenia
manual transmission; manualna skrzynia biegów
manumatic; manumatyczna skrzynia biegów
marque; marka
model; model
moonroof; szyberdach
motor oil; olej silnikowy
muffler; tłumik
multivalve engine; silnik wielozaworowy
nave; piasta
nave cap; kapsel piasty
neutral (N); neutral (N)
north-south; północ-południe
noseweight; obciążenie przodu
octane rating; ocena oktanowa
odometer; licznik kilometrów
off-road vehicle; pojazd terenowy
oil filter; filtr oleju
oil gallery; kanał olejowy
oil gauge; wskaźnik oleju
oil level indicator; wskaźnik poziomu oleju
oil pan; miska olejowa
oil pump; pompa oleju
on-board diagnostics (OBD); diagnostyka pokładowa (OBD)
overdrive; nadbieg
overhead valve engine (OHV); silnik z zaworami w głowicy (OHV)
overspeed governor; regulator nadmiernej prędkości
oversteer; nadsterowność
parking brake; hamulec postojowy
piston; tłok
platform; platforma
play; luz
power locks; zamki centralne
power steering; wspomaganie kierownicy
power stroke; suw mocy
power windows; elektryczne szyby
powertrain; układ napędowy
powertrain control module (PCM); moduł sterujący układem napędowym (PCM)
rack and pinion; przekładnia zębata
radiator; chłodnica
radiator fan; wentylator chłodnicy
rear-view mirror; lusterko wsteczne
rear-wheel drive (RWD); napęd na tylne koła (RWD)
redline; czerwone pole obrotomierza
remote keyless system (RKS); system zdalnego otwierania (RKS)
remote start; zdalne uruchamianie
roadworthy; nadający się do jazdy
rolling ratio; współczynnik toczenia
scuttle; grodź
semi-automatic transmission; półautomatyczna skrzynia biegów
siping; nacinanie
sludge; osad olejowy
soak time; czas nasiąkania
solenoid switch; przełącznik elektromagnetyczny
solid injection; wtrysk stały
spare tire; koło zapasowe
spark ignition; zapłon iskrowy
spark plug; świeca zapłonowa
speedometer; prędkościomierz
spoiler; spoiler
steering column; kolumna kierownicy
steering wheel; kierownica
stick shift; manualna zmiana biegów
straight engine; silnik rzędowy
strangler; ssanie ręczne
street-legal; dopuszczony do ruchu drogowego
stroke; suw
subframe; ramka pomocnicza
sun visor; osłona przeciwsłoneczna
supercharger; doładowarka mechaniczna
suspension; zawieszenie
tachometer; obrotomierz
tailgate; tylna klapa
tailpipe; rura wydechowa
telematic control unit (TCU); jednostka sterująca telematyką (TCU)
telematics; telematyka
throttle; przepustnica
tie rod; drążek kierowniczy
tire; opona
tire balance; wyważenie opony
tire pressure; ciśnienie w oponie
tire rotation; rotacja opon
torque; moment obrotowy
traction; przyczepność
traction control system (TCS); system kontroli trakcji (TCS)
trafficator; kierunkowskaz
transaxle; skrzynia biegów z mechanizmem różnicowym
transbrake; hamulec skrzyni biegów
transfer case; skrzynia rozdzielcza
transmission; skrzynia biegów
transmission control unit (TCU); jednostka sterująca skrzynią biegów (TCU)
transmission fluid; płyn do skrzyni biegów
transmission tunnel; tunel skrzyni biegów
transverse engine; silnik poprzeczny
trim level; poziom wyposażenia
trunk; bagażnik
turbocharger; turbosprężarka
turn signal; kierunkowskaz
two-stroke engine; silnik dwusuwowy
two-wheel drive (2WD); napęd na dwa koła (2WD)
undercarriage; podwozie
underdrive pulley; koło napędowe o mniejszym przełożeniu
understeer; podsterowność
unsprung mass; masa niesprężysta
V engine; silnik w układzie V
valvetrain; układ zaworów
vehicle identification number (VIN); numer identyfikacyjny pojazdu (VIN)
wheel alignment; ustawienie kół
wheel well; nadkole
wheelbase; rozstaw osi
wheelfight; walka z kierownicą
whistle tip; końcówka wydechu
windshield; przednia szyba
windshield wiper; wycieraczka przedniej szyby
wing; błotnik
wing mirror; lusterko boczne
wiring harness; wiązka przewodów
Y pipe; rura Y
